"Well","ESP_OD_Casing_inches","Motor_Oil_Temperature","Intake_Temperature_F","Intake_Pressure_Mpa","Motor_Vibration","Current_Leakage_mA","PressureROC","Surface_Temperature"
"Well_999A",4.5,407,410,5.47,17.4,7.826,1.82,292
"Well_4377AG",7,471,470,10.31,15.7,3.472,0.09,337
"Well_4549G",5.5,351,347,4.29,17.1,15.791,2.47,243
"Well_4231N",7,344,347,4.37,17.9,10.489,2.68,244
"Well_175A",4.5,472,473,6.96,15,2.961,0.32,340
"Well_3323AG",4.5,465,463,5.01,16.2,13.296,1.32,332
"Well_192G",5.5,458,459,8.13,15.1,14.357,2.71,344
"Well_2811N",4.5,459,462,6.83,16.7,1.621,0.73,332
"Well_2710A",5.5,482,477,3.9,16.5,14.39,2.85,342
"Well_3103AG",5.5,423,424,3.4,17.3,1.649,2.2,320
"Well_3520G",4.5,353,356,11.23,17.9,4.656,1.36,251
"Well_109N",4.5,430,434,4.76,17.6,7.77,2.6,310
"Well_2608A",5.5,490,492,8.4,15.7,5.091,0.24,355
"Well_3950AG",4.5,325,320,10.26,15.7,14.886,0.16,223
"Well_605G",4.5,405,406,8.37,19.6,0.746,2.86,289
"Well_3804N",4.5,434,432,4.53,18.2,8.38,0.99,308
"Well_2820A",4.5,432,435,7.87,16.1,6.29,2.35,311
"Well_4141AG",4.5,406,406,4.2,15.6,7.298,1.42,304
"Well_1083G",4.5,355,351,11.99,16.1,5.425,0.81,246
"Well_66N",7,299,303,8.98,18.9,8.103,2.29,230
"Well_368A",4.5,476,476,9.53,15.3,15.038,0.93,342
"Well_3661AG",4.5,416,411,10.17,19.5,1.843,2.09,292
"Well_1196G",4.5,332,329,8.49,16.6,2.724,1.77,230
"Well_26N",4.5,436,436,7.36,19.9,15.797,2.17,311
"Well_3289A",7,387,392,5.63,16,7.402,0.94,279
"Well_490AG",7,454,458,9.81,19.7,0.639,1.63,329
"Well_4198G",7,498,493,7.09,16.6,1.192,2.82,355
"Well_2929N",4.5,319,315,11.15,16.2,0.509,2.59,219
"Well_3059A",4.5,311,307,10.97,19.9,12.298,0.52,213
"Well_47AG",5.5,438,438,6.8,18.5,6.132,1.76,313
"Well_3020G",4.5,346,349,5.02,15.2,6.355,2.06,246
"Well_698N",4.5,299,300,3.09,16.2,15.284,0.06,209
"Well_1678A",4.5,443,442,9.02,15.7,2.317,1.97,316
"Well_571AG",5.5,348,350,6.37,16.9,1.054,0.72,263
"Well_3508G",4.5,405,402,11.44,18.7,13.45,2.54,304
"Well_4314N",5.5,425,429,8.82,18.7,11.497,0.77,307
"Well_383A",7,348,348,10.42,17,1.823,1.99,245
"Well_3718AG",5.5,468,466,3.43,17.3,10.576,1.88,334
"Well_4735G",4.5,387,383,3.48,15.6,10.443,1.25,271
"Well_3527N",4.5,483,483,10.33,16.8,15.707,1.7,347
"Well_3638A",5.5,404,407,6.25,20,10.101,1.1,290
"Well_1086AG",4.5,464,468,7.74,19.3,9.842,1.23,356
"Well_408G",4.5,400,400,5.53,17.2,13.863,0.89,284
"Well_356N",4.5,468,466,11.31,19.3,8.427,2.07,353
"Well_4265A",4.5,436,432,9.44,15.4,7.993,2.63,308
"Well_1080AG",4.5,416,412,5.01,18.9,9.946,2.71,293
"Well_2534G",4.5,430,430,10.72,16.4,1.825,0.36,307
"Well_4785N",7,303,301,10.19,15.2,2.113,1.92,209
"Well_3307A",5.5,306,302,4.16,19.9,11.65,1.99,209
"Well_2457AG",4.5,474,471,11.93,18.7,0.523,1.64,338
"Well_4869G",4.5,474,477,8.62,18.1,5.365,0.3,343
"Well_1259N",5.5,416,414,3.33,18.5,5.031,0.38,294
"Well_4801A",7,480,485,6.38,18.9,10.871,2.92,350
"Well_3884AG",5.5,381,382,3.25,16.3,3.804,0.75,287
"Well_2655G",4.5,333,334,8.27,18,2.832,2.61,234
"Well_4645N",5.5,485,488,4.14,20,14.865,2.83,352
"Well_4793A",4.5,306,305,5.86,19.3,10.148,0.9,212
"Well_2561AG",4.5,417,418,8.62,19.9,8.375,0.83,298
"Well_1798G",7,406,402,6.06,18.3,4.849,1.83,285
"Well_4597N",4.5,310,315,11.87,19.6,13.24,0.82,221
"Well_4551A",5.5,336,334,7.42,16.4,6.95,1.85,234
"Well_1285AG",5.5,351,349,7.91,16.9,11.829,1.2,245
"Well_1021G",4.5,334,335,4.74,18.8,14.906,0.74,235
"Well_1558N",4.5,417,420,6.01,15.8,9.095,0.4,300
"Well_4879A",5.5,331,336,3.51,19.7,10.162,1.68,236
"Well_2527AG",5.5,474,475,10.09,15.9,15.576,1.52,341
"Well_2047G",5.5,499,499,10.74,15.6,6.692,2.32,360
"Well_291N",4.5,360,357,3.15,16,8.521,2.53,251
"Well_4900A",4.5,338,335,8.62,15.1,7.234,0.86,234
"Well_172AG",5.5,333,332,7.35,17.2,7.484,2.56,250
"Well_4111G",5.5,305,309,4.89,15,3.909,1.35,216
"Well_2773N",5.5,349,344,6.73,17.5,5.923,1.77,241
"Well_3138A",4.5,489,489,10.69,18,12.967,0.78,352
"Well_4539AG",7,500,497,11.51,17.8,2.073,1.56,358
"Well_2552G",4.5,363,359,9.86,17.4,5.103,2.93,270
"Well_2325N",4.5,401,403,8.59,19.2,12.421,2.29,287
"Well_3145A",4.5,337,340,11.98,17.5,11.328,1.85,239
"Well_1976AG",5.5,473,475,7.12,17,0.861,2,342
"Well_4046G",5.5,478,481,9.07,17,4.747,0.44,346
"Well_500N",5.5,488,483,7.53,17.2,1.235,2.7,347
"Well_101A",7,501,500,7.98,17.1,14.171,1.49,360
"Well_1931AG",5.5,389,385,8.34,15.8,14.757,0.68,272
"Well_3113G",5.5,403,399,6.9,17.6,5.198,0.46,283
"Well_3689N",4.5,477,480,10.03,18.5,6.168,2.14,346
"Well_4319A",4.5,377,378,5.32,18.2,1.91,2.83,286
"Well_17AG",4.5,356,357,9.7,16.8,6.532,0.57,252
"Well_1234G",5.5,460,463,10.04,20,11.333,0.39,333
"Well_1442N",4.5,416,421,9.28,15.1,9.521,0.51,301
"Well_514A",5.5,299,301,10.19,17.2,10.444,3,210
"Well_3005AG",5.5,337,338,7.26,16.5,8.563,0.45,237
"Well_611G",4.5,325,327,9.39,19.9,14.351,2.35,229
"Well_650N",5.5,491,489,4.82,17.7,6.29,0.79,352
"Well_4145A",5.5,470,473,7.03,19,12.393,0.08,340
"Well_2301AG",5.5,454,452,8.82,20,2.467,0.75,343
"Well_4044G",5.5,456,457,8.77,17.3,14.95,0.35,328
"Well_2745N",4.5,312,315,7.62,17.5,9.664,0.91,220
"Well_3618A",4.5,359,362,10.57,16.1,9.237,2.84,256
"Well_2568AG",7,463,466,5.38,16,1.926,1.46,335
"Well_2636G",4.5,331,330,6.65,19,10.927,2.98,231
"Well_4993N",5.5,314,319,7.45,18.5,9.735,1.44,224
"Well_1765A",7,404,402,6.31,20,7.475,0.12,285
"Well_1236AG",4.5,427,432,7.08,16.3,10.388,2.26,309
"Well_144G",7,468,469,4.63,19,13.347,2.07,337
"Well_786N",5.5,311,312,5.15,18.3,12.554,0.36,218
"Well_3432A",4.5,337,340,10.28,15.7,6.809,2.26,255
"Well_2230AG",5.5,418,420,8.07,15.9,12.235,1.26,300
"Well_2476G",4.5,333,334,3.88,15.6,4.773,1.7,234
"Well_1823N",5.5,446,444,10.43,18.7,9.831,0.09,317
"Well_18A",5.5,355,360,8.2,16.1,9.38,0.52,270
"Well_307AG",7,452,449,4.93,16.9,12.305,0.29,338
"Well_2972G",5.5,461,460,8.2,15.3,7.265,0.05,330
"Well_3581N",4.5,459,458,8.39,19.5,7.806,0.53,328
"Well_2895A",4.5,338,337,3.37,15.3,7.007,1.28,251
"Well_4024AG",4.5,346,346,3,19.1,1.897,1.38,243
"Well_1526G",7,335,338,5.27,17.9,6.527,1.75,238
"Well_3800N",4.5,379,383,4.39,16.9,15.36,2.1,272
"Well_4837A",4.5,423,428,3.17,15.8,10.193,0.5,306
"Well_2518AG",4.5,364,363,10.64,17.2,12.456,0.9,256
"Well_904G",4.5,465,464,6.86,15,2.217,1.4,333
"Well_171N",4.5,368,372,6.34,18.6,9.945,2.14,263
"Well_294A",4.5,381,384,11.05,15.2,14.722,2.92,287
"Well_3590AG",4.5,460,463,3.58,17.1,3.729,1.85,333
"Well_121G",5.5,445,450,6.03,18.2,9.711,0.74,323
"Well_1953N",4.5,333,334,10.49,20,1.451,0.55,234
"Well_960A",5.5,314,318,5.98,17.2,5.166,2.51,223
"Well_1022AG",4.5,387,392,5.49,19.1,13.59,1.96,279
"Well_4936G",4.5,457,455,9.33,19.7,3.768,1.12,326
"Well_817N",4.5,405,410,11,16.4,3.648,1.53,292
"Well_358A",4.5,491,496,10.46,17.7,8.206,2.75,358
"Well_4976AG",5.5,499,496,10.52,17.6,1.844,2.03,357
"Well_1704G",4.5,409,404,7.24,17.8,0.96,1.45,286
"Well_4917N",4.5,313,316,7.95,15.6,15.68,0.9,221
"Well_2964A",4.5,323,325,7.84,19.5,8.641,2.74,228
"Well_2099AG",4.5,485,485,10.21,17,13.587,2.91,366
"Well_4622G",4.5,480,484,7.87,16.2,5.718,2.12,349
"Well_2874N",4.5,345,345,11.54,17.9,4.447,0.11,242
"Well_1064A",5.5,310,313,9.18,17.2,11.483,1.75,219
"Well_4996AG",4.5,390,388,5.51,19.3,3.922,2.5,275
"Well_205G",7,321,316,10.92,17.1,10.559,0.92,220
"Well_1481N",4.5,469,464,7.1,16.7,9.479,2.06,349
"Well_2451A",4.5,387,391,3.59,19.2,8.575,2.97,278
"Well_2183AG",4.5,346,346,9.56,15.3,12.269,1.12,243
"Well_877G",4.5,374,370,7.2,19.4,10.574,1.31,261
"Well_3196N",4.5,424,422,6.67,18.1,4.521,2.03,319
"Well_4104A",4.5,348,353,11.88,17.5,5.115,2.27,249
"Well_75AG",4.5,313,310,11.83,17.5,6.777,0.73,216
"Well_580G",4.5,412,416,5.7,17,5.299,2.3,297
"Well_1790N",5.5,396,394,5.45,19.4,3.86,1.39,279
"Well_4943A",7,362,366,9.17,17.7,0.525,2.09,259
"Well_2947AG",5.5,323,323,3.54,19.5,7.438,0.76,226
"Well_2548G",4.5,350,347,9.66,15.9,3.402,2.72,243
"Well_1908N",4.5,385,383,10.27,15.3,14.701,0.63,271
"Well_2496A",5.5,487,482,6.04,16.2,14.576,2.94,346
"Well_2777AG",4.5,411,406,5.17,18.2,8.638,1.63,288
"Well_1213G",5.5,361,364,9.51,15.6,15.976,0.31,257
"Well_2032N",4.5,408,412,5.31,18.4,1.087,1.89,294
"Well_2304A",4.5,428,423,8.65,15,4.344,2.94,301
"Well_4732AG",5.5,319,322,3.36,17.6,7.792,0.25,225
"Well_4794G",5.5,340,339,9.31,16.5,6.732,1.57,238
"Well_3397N",7,402,403,6.29,16.9,10.683,2.43,286
"Well_3616A",5.5,419,415,9.43,18.4,2.554,0.31,295
"Well_578AG",5.5,403,403,9.24,19.6,7.003,0.57,286
"Well_2574G",5.5,409,409,8.07,18.6,13.312,0.91,291
"Well_681N",4.5,301,303,11.15,19,2.822,2.96,211
"Well_1244A",5.5,298,300,7.84,16.6,12.921,1.8,209
"Well_2508AG",4.5,377,373,8.08,15,3.944,2.49,263
"Well_2224G",4.5,422,423,5.79,15.8,1.057,0.78,302
"Well_3434N",4.5,482,486,3.28,18.5,15.536,2.89,350
"Well_4169A",7,431,429,11.35,16.8,7.732,0.85,306
"Well_569AG",4.5,335,334,8.75,15.5,7.447,0.15,234
"Well_1045G",5.5,341,343,9.95,18.4,5.841,2.02,241
"Well_4028N",4.5,424,424,8.78,16.8,3.427,0.16,302
"Well_2816A",5.5,329,326,4.5,18.3,10.21,1.99,246
"Well_3729AG",5.5,307,306,7.64,18.7,9.108,1.27,213
"Well_3908G",4.5,349,351,3.85,19.7,11.644,0.47,247
"Well_4330N",5.5,334,339,11.74,18.7,12.35,0.12,239
"Well_551A",4.5,502,498,10.63,16.3,5.193,2.77,359
"Well_4348AG",5.5,383,385,11.23,15.8,9.897,2.58,289
"Well_441G",4.5,401,406,4.64,17.9,9.55,2.13,289
"Well_1901N",5.5,400,398,5.72,17.7,0.342,0,282
"Well_2375A",4.5,417,421,7.74,19.6,13.455,0.43,301
"Well_4321AG",4.5,478,477,3.25,18.3,3.007,2.08,343
"Well_2434G",4.5,331,329,9.35,19.1,10.394,2.15,230
"Well_3927N",4.5,462,461,3.37,15.3,8.573,2.11,346
"Well_509A",7,412,415,11.01,15.2,5.643,0.34,296
"Well_3336AG",4.5,340,340,3.2,15,8.514,1.8,239
"Well_3049G",5.5,348,353,9.81,19.6,13.654,1.48,249
"Well_4725N",4.5,453,456,9.76,16.3,2.933,0.65,327
"Well_2181A",4.5,458,458,8.82,17.7,13.782,1.34,328
"Well_3575AG",7,436,434,5.65,19.5,14.256,1,310
"Well_57G",4.5,356,356,10.7,19.6,7.823,0.74,251
"Well_863N",4.5,431,433,9.42,19.8,12.893,1.16,309
"Well_2269A",5.5,384,382,10.94,18.9,11.55,2.45,270
"Well_4151AG",4.5,443,444,4.66,19.7,12.555,1.84,318
"Well_4369G",4.5,314,310,9.72,18.6,10.871,2.57,215
"Well_4332N",7,349,346,6.18,16.9,13.95,2.48,243
"Well_2410A",4.5,401,404,9.17,17.7,9.388,1.24,287
"Well_327AG",7,335,332,7.32,18.4,13.912,1.23,232
"Well_355G",4.5,449,447,8.4,16.5,3.113,0.74,320
"Well_1585N",7,324,326,5.64,17.5,3.741,2.63,228
"Well_889A",4.5,442,440,8.29,19.6,11.881,1.41,314
"Well_4433AG",5.5,355,358,8,19.9,15.553,0.85,253
"Well_2187G",4.5,455,458,6.22,16.6,10.521,1.14,329
"Well_477N",5.5,495,498,7.5,19.5,4.835,0.33,359
"Well_2240A",4.5,399,399,11.76,17.1,0.534,2.68,283
"Well_2480AG",4.5,459,456,9.22,17.2,14.551,1.52,344
"Well_1226G",5.5,441,437,3.76,17.3,0.328,1.76,312
"Well_1574N",5.5,419,417,4.51,15.3,4.824,0.51,297
"Well_1225A",4.5,390,392,5.1,17.9,14.427,2.15,278
"Well_2354AG",4.5,466,468,6.77,16.5,1.217,2.36,336
"Well_2103G",5.5,456,459,3.42,15.6,0.427,1.02,345
"Well_3578N",5.5,310,314,4.04,18.6,9.562,0.24,220
"Well_2170A",5.5,415,417,4.85,19.5,11.931,1.12,297
"Well_851AG",4.5,428,430,11.34,16.4,14.763,1.77,324
"Well_2257G",4.5,482,479,8.33,19.9,13.097,2.23,344
"Well_3518N",4.5,457,456,10.17,18,7.15,0.49,327
"Well_3995A",4.5,348,352,5.1,19,8.109,1.95,248
"Well_4147AG",5.5,345,348,7.52,19.2,12.346,0.31,245
"Well_1172G",4.5,321,322,3.27,17.2,12.598,0.67,225
"Well_3242N",4.5,401,406,4.63,19.8,8.032,1.16,289
"Well_4074A",5.5,487,485,4.92,17.1,5.413,2.01,349
"Well_353AG",4.5,386,387,9.48,16.5,4.184,2.79,274
"Well_4049G",4.5,358,358,6.39,17,9.864,2.95,252
"Well_2822N",7,355,353,4.6,18,3.75,2.56,248
"Well_2984A",4.5,474,470,11.28,19.9,6.262,2.52,357
"Well_844AG",4.5,439,434,11.3,17.2,6.721,1.08,309
"Well_4990G",4.5,302,300,4.24,17.2,13.152,1.97,208
"Well_3341N",4.5,393,391,10.16,18.3,12.196,0.41,277
"Well_1533A",7,395,399,7.68,15.5,2.533,1.33,284
"Well_1346AG",4.5,394,393,10.82,16.6,13.94,1.26,279
"Well_2954G",5.5,326,329,6.43,17.9,2.856,0.92,231
"Well_1587N",5.5,415,411,10.84,19.5,3.959,2.21,292
"Well_2087A",4.5,336,332,11.31,15,6.882,0.74,232
"Well_1108AG",4.5,305,301,5.4,15,4.453,2.36,209
"Well_1220G",4.5,425,423,10.96,16.1,8.312,1.48,301
"Well_2837N",4.5,312,314,7.4,16.9,5.115,1.74,219
"Well_2507A",4.5,296,301,11.28,18.6,10.482,0.35,210
"Well_3709AG",4.5,405,410,3.45,15.3,4.618,0.93,292
"Well_4346G",4.5,421,416,9.31,18.9,5.736,1.94,314
"Well_2803N",4.5,369,371,10.61,19.4,4.432,1.04,262
"Well_2022A",5.5,332,328,3.11,15.9,0.719,2,229
"Well_1681AG",4.5,409,407,3.46,19.7,6.023,1.79,289
"Well_934G",5.5,356,359,6.12,17.6,14.289,0.57,253
"Well_3149N",4.5,317,315,7.45,16.1,5.878,0.84,219
"Well_1766A",5.5,444,441,4.05,15.6,6.515,0.62,315
"Well_2139AG",4.5,492,496,11.78,19.3,15.704,2.33,358
"Well_198G",4.5,391,388,8.43,16.7,7.814,2.74,274
"Well_4832N",4.5,369,369,4.01,17.8,6.736,0.4,260
"Well_1507A",5.5,470,473,10.82,15.5,13.788,1.52,356
"Well_4884AG",5.5,483,486,5.02,17.1,10.321,0.34,350
"Well_2570G",7,368,373,3.35,18.6,8.23,2.14,264
"Well_4688N",4.5,481,484,3.34,16.3,0.833,0.57,349
"Well_339A",4.5,466,464,7.81,16.1,13.499,2.43,333
"Well_1154AG",4.5,429,430,6.25,19.5,14.698,2.89,307
"Well_987G",4.5,335,334,8.7,18.6,9.812,1.69,234
"Well_2675N",5.5,360,360,7.03,19.2,6.686,1.93,254
"Well_364A",5.5,454,457,10.42,18.3,2.757,1.45,328
"Well_550AG",4.5,423,426,7.7,16.7,2.911,1.27,304
"Well_4583G",4.5,323,319,3.89,15.4,4.225,2.21,222
"Well_976N",4.5,385,389,7.3,18.2,9.001,2.15,276
"Well_826A",4.5,426,422,9.86,15.6,9.365,0.95,300
"Well_4114AG",4.5,346,347,8.11,19.6,0.493,1.38,244
"Well_794G",4.5,495,500,7.55,17.9,8.726,0.18,361
"Well_3777N",4.5,505,500,7.74,18,3.461,1.32,360
"Well_2111A",4.5,397,394,5.14,18,3.93,2.17,279
"Well_4968AG",4.5,487,489,11.85,16.7,13.83,1.01,352
"Well_2428G",5.5,414,417,3.32,16.7,1.641,2.86,297
"Well_2021N",5.5,457,458,11.99,18.9,14.024,1.41,328
"Well_2674A",4.5,390,390,4.02,19.1,13.834,1.85,276
"Well_1192AG",4.5,393,390,10.86,15.7,11.895,1.22,276
"Well_3116G",7,330,325,10.71,16.8,14.946,1.32,227
"Well_4634N",4.5,472,467,6.88,19.9,11.617,0.38,335
"Well_3966A",4.5,310,309,8.9,17.2,14.624,0.1,215
"Well_1956AG",5.5,360,355,8.88,16.9,2.458,0.75,266
"Well_1423G",4.5,458,461,8.04,18.2,12.161,0.73,331
"Well_3517N",5.5,354,355,4.23,17.9,10.092,1.96,250
"Well_4226A",5.5,376,373,5.35,18.9,6.475,0.57,263
"Well_1899AG",4.5,324,324,7.15,18.3,12.644,1.05,245
"Well_4678G",4.5,406,407,10.26,15,10.448,2.35,289
"Well_3322N",4.5,402,402,9.84,18.4,5.628,2.82,286
"Well_2546A",4.5,305,303,7.74,17.1,15.262,2.37,210
"Well_4136AG",4.5,324,321,5.59,19.3,10.11,1.7,224
"Well_4097G",5.5,405,401,5.97,15.3,8.356,0.06,284
"Well_4196N",4.5,384,383,3.23,16.9,4.708,0.38,271
"Well_7A",5.5,311,308,5.58,18,15.615,1.67,214
"Well_3975AG",4.5,338,338,10.94,15.4,15.191,2.99,237
"Well_498G",5.5,365,368,6.41,19.6,6.19,0.62,260
"Well_3512N",4.5,308,311,4.19,18.5,15.691,1,236
"Well_1997A",4.5,340,335,7.86,17.9,4.426,0.97,234
"Well_1457AG",4.5,395,400,10.37,17.1,1.262,1.39,285
"Well_4251G",4.5,350,353,4.3,18.8,8.32,2.52,249
"Well_3022N",4.5,390,393,4.02,17.5,5.329,2.05,279
"Well_4125A",4.5,460,463,7.76,18.5,0.666,0.51,351
"Well_2646AG",7,494,495,7.16,15.7,15.713,2.64,357
"Well_3700G",4.5,315,312,7.06,19.4,4.899,0.3,217
"Well_3948N",5.5,419,423,3.37,19.3,7.638,1.42,302
"Well_4161A",4.5,393,395,3.59,18.9,0.348,0.68,281
"Well_3820AG",4.5,402,404,11.94,15,8.327,1.88,302
"Well_3833G",4.5,453,451,5.81,15.6,2.028,2.46,323
"Well_2278N",5.5,429,430,9.93,16.5,7.734,0.64,307
"Well_309A",4.5,502,500,5.75,19.5,5.541,1.15,360
"Well_3586AG",4.5,458,462,9.99,17.2,10.525,2.13,332
"Well_2971G",5.5,337,341,11.48,18.9,14.192,2.76,240
"Well_4547N",4.5,476,475,6.67,15,15.389,1.16,341
"Well_921A",4.5,420,422,6.96,17.5,3.25,0.73,301
"Well_1036AG",4.5,340,345,5.15,19.4,14.968,0.62,243
"Well_415G",4.5,456,452,10.01,19.3,4.669,0.8,323
"Well_964N",4.5,372,370,11.09,16.1,10.93,2.75,261
"Well_4160A",4.5,481,483,10.61,16.7,12.259,0.41,348
"Well_3969AG",7,480,481,9.98,20,12.955,1.43,346
"Well_2299G",5.5,409,411,10.92,18,7.275,0.06,293
"Well_1424N",4.5,314,309,3.73,19.4,13.837,0.06,215
"Well_1496A",5.5,312,309,4.6,16.1,2.087,1.96,231
"Well_3161AG",4.5,417,418,8.42,15.9,0.111,1.52,298
"Well_1367G",4.5,449,453,8.78,19.3,12.424,2.68,325
"Well_3839N",4.5,367,365,8.8,17,9.498,0.32,274
"Well_4567A",4.5,312,307,5.48,18.6,14.239,2.93,213
"Well_3406AG",4.5,344,344,9.46,17,3.21,0.63,242
"Well_3065G",4.5,353,354,10.01,19.1,6.593,1.06,249
"Well_3179N",7,352,356,5.12,15.3,3.827,0.28,251
"Well_1660A",7,460,462,7.76,16.2,8.501,0.98,332
"Well_1305AG",4.5,456,460,3.35,17.4,10.189,1.85,330
"Well_925G",7,478,482,3.5,17.7,7.818,0.52,347
"Well_9N",4.5,483,479,9.46,16,9.225,0.51,344
"Well_871A",4.5,355,358,3.07,18.1,12.224,1.47,253
"Well_3328AG",4.5,338,341,3.75,17.3,1.525,1.69,240
"Well_3075G",5.5,337,342,7.88,17.3,14.649,1.66,258
"Well_604N",4.5,415,410,7.6,18.5,15.46,0.3,291
"Well_443A",7,395,398,4.89,17.3,13.935,0.13,283
"Well_3046AG",4.5,500,500,4.24,16.6,3.98,1.16,361
"Well_4987G",5.5,459,462,4.74,17.2,1.738,0.45,332
"Well_446N",4.5,486,481,3.83,16.3,5.732,1.33,345
"Well_3367A",4.5,446,447,6.86,16,11.868,1.44,320
"Well_3866AG",5.5,439,437,7.01,19.7,7.567,0.66,312
"Well_1008G",4.5,501,496,10.17,19.8,1.986,1.18,357
"Well_2708N",4.5,326,325,7.85,18,7.887,1.61,245
"Well_4961A",5.5,460,464,3.27,16.8,15.155,2.87,333
"Well_4624AG",5.5,414,419,10.4,17,8.123,0.39,299
"Well_2537G",7,375,376,8.72,17.1,9.282,1.34,266
